dimension;unit;m;k;s;kel;mol;amp;cand;offset;gradient
Masse;mg;0;1;0;0;0;0;0;0,0;1,0E-6
Masse;g;0;1;0;0;0;0;0;0,0;0,001
Masse;kg;0;1;0;0;0;0;0;0,0;1,0
Masse;t;0;1;0;0;0;0;0;0,0;1000,0
Masse;lb;0;1;0;0;0;0;0;0,0;0,45
Masse;GeV/c^2;0;1;0;0;0;0;0;0,0;1,78E-27
Masse;eV/c^2;0;1;0;0;0;0;0;0,0;1,78E-36
Masse;amu;0;1;0;0;0;0;0;0,0;1,66E-27
Massenstrom;kg/s;0;1;-1;0;0;0;0;0,0;1,0
Massenstrom;kg/s;0;1;-1;0;0;0;0;0,0;1,0
Massenstrom;kg/min;0;1;-1;0;0;0;0;0,0;0,016666667
Massenstrom;kg/h;0;1;-1;0;0;0;0;0,0;2,78E-4
Massenstrom;g/s;0;1;-1;0;0;0;0;0,0;0,001
Massenstrom;mg/s;0;1;-1;0;0;0;0;0,0;1,0E-6
Massenstrom;to/d;0;1;-1;0;0;0;0;0,0;0,01157407
Energie;J;2;1;-2;0;0;0;0;0,0;1,0
Energie;Joule;2;1;2;0;0;0;0;0,0;1,0
Energie;kJ;2;1;2;0;0;0;0;0,0;1000,0
Energie;eV;2;1;2;0;0;0;0;0,0;1,6E-19
Leistung;PS;2;1;-3;0;0;0;0;0,0;735,49875
Leistung;Watt;2;1;-3;0;0;0;0;0,0;1,0
Leistung;kW;2;1;-3;0;0;0;0;0,0;1000,0
Leistung;MW;2;1;-3;0;0;0;0;0,0;1000000,0
Leistung;GW;2;1;-3;0;0;0;0;0,0;1,0E9
Kraft;N;1;1;-2;0;0;0;0;0,0;1,0
Kraft;kN;1;1;-2;0;0;0;0;0,0;1000,0
Temperatur;C;0;0;0;1;0;0;0;273,15;1,0
Temperatur;F;0;0;0;1;0;0;0;255,372222;0,555555556
Temperatur;Re;0;0;0;1;0;0;0;273,15;1,25
Temperatur;eV/k_B;0;0;0;1;0;0;0;0,0;11604,505
Zeit;sek;0;0;1;0;0;0;0;0,0;1,0
Zeit;min;0;0;1;0;0;0;0;0,0;60,0
Zeit;h;0;0;1;0;0;0;0;0,0;3600,0
Zeit;Std;0;0;1;0;0;0;0;0,0;3600,0
Druck;Pas;-1;1;-2;0;0;0;0;0,0;1,0
Druck;bar;-1;1;-2;0;0;0;0;0,0;100000,0
Druck;Hpas;-1;1;-2;0;0;0;0;0,0;100000,0
Druck;mbar;-1;1;-2;0;0;0;0;0,0;101,315
Druck;atm;-1;1;-2;0;0;0;0;0,0;101330,0
Druck;Torr;-1;1;-2;0;0;0;0;0,0;133,32
Druck;psi;-1;1;-2;0;0;0;0;0,0;689,48
Druck;at;-1;1;2;0;0;0;0;0,0;98066,5
Laenge;cm;1;0;0;0;0;0;0;0,0;0,01
Laenge;mm;1;0;0;0;0;0;0;0,0;0,001
Laenge;Zoll;1;0;0;0;0;0;0;0,0;0,0254
Geschwindigkeit;kmh;1;0;-1;0;0;0;0;0,0;0,277777778
Geschwindigkeit;m/s;1;0;-1;0;0;0;0;0,0;1,0
Geschwindigkeit;m/min;1;0;-1;0;0;0;0;0,0;0,016666667
Geschwindigkeit;m/h;1;0;-1;0;0;0;0;0,0;2,78E-4
Drehzahl;rpm;0;0;-1;0;0;0;0;0,0;60,0
Volumen;ml;3;0;0;0;0;0;0;0,0;1,0E-6
Volumen;l;3;0;0;0;0;0;0;0,0;0,001
Volumen;cm^3;3;0;0;0;0;0;0;0,0;1,0E-6
Volumen;GallonGB;3;0;0;0;0;0;0;0,0;0,004446
Volumen;GallonUS;3;0;0;0;0;0;0;0,0;0,003785
Volumen;PintGB;3;0;0;0;0;0;0;0,0;5,68E-4
Volumen;PintUS;3;0;0;0;0;0;0;0,0;4,73E-4
Volumen;QuartGB;3;0;0;0;0;0;0;0,0;0,001137
Volumen;QuartUS;3;0;0;0;0;0;0;0,0;9,46E-4
Volumenstrom;l/s;3;0;-1;0;0;0;0;0,0;0,001
Volumenstrom;l/min;3;0;-1;0;0;0;0;0,0;1,67E-5
Volumenstrom;m^3/h;3;0;-1;0;0;0;0;0,0;2,78E-4
Dichte;mg/l;-3;1;0;0;0;0;0;0,0;0,001
Dichte;g/l;-3;1;0;0;0;0;0;0,0;1,0
Dichte;kg/l;-3;1;0;0;0;0;0;0,0;1000,0
Konzentration;g/l;-3;1;0;0;0;0;0;0,0;1,0
Konzentration;mol/l;-3;0;0;0;1;0;0;0,0;0,001
Konzentration;mol/m^3;-3;0;0;0;1;0;0;0,0;1,0
Gravitationskonstante;g;1;0;-2;0;0;0;0;0,0;9,81
BoltzmannKonstante;k_B;2;1;-2;-1;0;0;0;0,0;1,38E-23
GasKonstante;R;2;1;-2;-1;-1;0;0;0,0;8,3144621
Avogadro;N_A;0;0;0;0;-1;0;0;0,0;6,02E23
Prozent;%;0;0;0;0;0;0;0;0,0;0,01
StefanBoltzmannKonstante;sigma;0;1;-3;4;0;0;0;0,0;5,67E-8
Impuls;eV/c;1;1;-1;0;0;0;0;0,0;5,34E-28
WaermeDiffusivitaet;m^2/s;2;0;-1;0;0;0;0;0,0;1,0
Diffusivitaet;m^2/s;2;0;-1;0;0;0;0;0,0;1,0
AxialeDiffusivitaet;m^2/s;2;0;-1;0;0;0;0;0,0;1,0
ViskositaetKin;m^2/s;2;0;-1;0;0;0;0;0,0;1,0
ViskositaetDyn;k/ms;-1;1;-1;0;0;0;0;0,0;1,0
Waermekapazitaet;J/K;2;1;2;-1;0;0;0;0,0;1,0
Waermeuebergangskoeffizient;W/(m^2*K);0;1;-3;-1;0;0;0;0,0;1,0
Waermeleitfaehigkeit;J/msK;1;1;-3;-1;0;0;0;0,0;1,0
Massentransferrate;mol/s;0;0;-1;0;1;0;0;0,0;1,0
Massentransferkoeffizient;(mol/sm^2)/(mol/m^3);1;0;-1;0;0;0;0;0,0;1,0
Reaktionsrate1;1/s;0;0;-1;0;0;0;0;0,0;1,0
Reaktionsrate2;L/smol;3;0;-1;0;-1;0;0;0,0;0,001
Reaktionsrate3;L^2/smol^2;6;0;-1;0;-2;0;0;0,0;1,0E-6
Oberflaechenspannung;m/s^2;1;0;-2;0;0;0;0;0,0;1,0
